apertureBlades,closeFocus,dimensions,focus,frontFilter,fullFrame,groupsElements,imageSource,listPrice,magnification,maxFocalLength,maxSpeed,minFocalLength,minSpeed,mount,oss,productName,releaseDate,sku,source,weight
7,,"3 1/8"" x 4"" (78 x 98.5 mm)",AF,72mm,,10/12,,"$1,349.99",0.19x,35,4,16,4,E-mount,,VARIO-TESSAR T* FE 16-35 mm F4 ZA OSS,,SEL1635Z,https://www.sony.com/electronics/camera-lenses/sel1635z,518
7,,"2-7/8 x 2-1/2"" (70.0 x 63.5 mm)",AF,62 mm,,8/10,,$899.99,0.1x,18,4,10,4,E-mount,,E 10-18 MM F4 OSS,,SEL1018,https://www.sony.com/electronics/camera-lenses/sel1018,225
7,,"2-5/8 x 1-3/16"" (64.7 x 29.9 mm)",AF,40.5mm,,8/9,,$299.99,0.215x,50,3.5,16,3.5,E-mount,,E PZ 16–50MM F3.5–5.6 OSS,,SELP1650,https://www.sony.com/electronics/camera-lenses/selp1650,116
7,,"2-1/2 x 2-1/4"" (62.0 x 55.5mm)",AF,49 mm,,6/7,,$299.99,1.0x,82,3.5,11,3.5,E-mount,,E 30 MM F3.5 MACRO,,SEL30M35,https://www.sony.com/electronics/camera-lenses/sel30m35,138
7,,"2-1/2 x 1-13/16"" (63 x 45 mm)",AF,49 mm,,6/8,,$474.99,0.15x,35,1.8,35,1.8,E-mount,,E 35 MM F1.8 OSS,,SEL35F18,https://www.sony.com/electronics/camera-lenses/sel35f18,154
7,,"2-3/4 x 3-7/8"" (68 x 97.1 mm)",AF,62 mm,,13/17,,$849.99,0.27x,200,3.5,18,3.5,E-mount,,E 18–200 MM F3.5–6.3 OSS LE,,SEL18200LE,https://www.sony.com/electronics/camera-lenses/sel18200l,460
7,,"3-1/2"" x 4-5/8"" (87 x 117.4 mm)",AF,- (not attachable),,13–17,,"$1,774.99",0.14,24,4,12,4,E-mount,,FE 12-24mm F4 G,,SEL1224G,https://www.sony.com/electronics/camera-lenses/sel1224g,565
7,,"2-1/2 x 2-1/2"" (62 x 62 mm)",AF,49 mm,,8/9,,$349.99,0.16x,50,1.8,50,1.8,E-mount,,E 50 MM F1.8 OSS,,SEL50F18,https://www.sony.com/electronics/camera-lenses/sel50f18,202
9,,"2-5/8 x 2-3/8"" (64 x 60 mm)",AF,49 mm,,8/9,,$449.99,0.13x(AF) / 0.16x(MF),28,2,28,2,E-mount,,FE 28 mm F2,,SEL28F20,https://www.sony.com/electronics/camera-lenses/sel28f20-ser,200
7,,"2-7/8 x 3-3/8"" (72.5 x 83 mm)",AF,55 mm,,8/9,,$399.99,0.19x,70,3.5,28,3.5,E-mount,,FE 28–70 mm F3.5–5.6 OSS,,SEL2870,https://www.sony.com/electronics/camera-lenses/sel2870,295
9,,87.6 x 136 mm,AF,82 mm,,13/18,,"$2,199.99",0.24 x,70,2.8,24,2.8,E-mount,,FE 24-70 mm F2.8 GM,,SEL2470GM,https://www.sony.com/electronics/camera-lenses/sel2470gm,31.25 oz
9,,2–5/8 x 2–7/8 in (65.6 x 73 mm),AF,55,,9-11,,$749.99,0.24,35,1.8,35,1.8,E-mount,,FE 35 MM F1.8,,SEL35F18F,https://www.sony.com/electronics/camera-lenses/sel35f18,280
7,,"77 x 142 mm (3-1/8 x 5-5/8"")",AF,67,,13–19,,$999.99,0.23,350,4.5,70,4.5,E-mount,,E 70–350 mm F4.5–6.3 G OSS,,SEL70350G,https://www.sony.com/electronics/camera-lenses/sel70350g,625
9,,"3 1/8 x 3 1/4"" (78 x 82 mm)",AF,67,,8-9,,$599.99,0.13,85,1.8,85,1.8,E-mount,,FE 85mm F1.8,,SEL85F18,https://www.sony.com/electronics/camera-lenses/sel85f18,371
11,,"3"" x 3 3/4"" (75.4 x 92.4 mm)",AF,67,,10–13,,"$1,399.99",0.17,24,1.4,24,1.4,E-mount,,FE 24mm F1.4 GM,,SEL24F14GM,https://www.sony.com/electronics/camera-lenses/sel24f14gm,445
7,,"2-7/8 x 3-3/4"" (73 x 94.5 mm)",AF,67mm,,10/12,,$899.99,0.20x,70,4,24,4,E-mount,,VARIO-TESSAR T* FE 24–70 MM F4 ZA OSS,,SEL2470Z,https://www.sony.com/electronics/camera-lenses/sel2470z,426
7,,"2.62 x 1.77 "" (66.6 x 45 mm)",AF,40.5,,7-8,,$499.99,0.16,60,4-5,28,.6,E-mount,,FE 28–60 MM F4–5.6,,SEL2860,https://www.sony.com/electronics/camera-lenses/sel2860,167
7,,"2-1/2 x 13/16"" (62.6 x 20.4 mm)",AF,49 mm,,6/6,,$349.99,0.12x,20,2.8,20,2.8,E-mount,,E 20 MM F2.8,,SEL20F28,https://www.sony.com/electronics/camera-lenses/sel20f28,69
9,,"3-1/8 x 4-1/2"" (78.5 x 112.0 mm)",AF,72mm,,8/12,,"$1,599.99",0.18x,35,1.4,35,1.4,E-mount,,DISTAGON T* FE 35 MM F1.4 ZA,,SEL35F14Z,https://www.sony.com/electronics/camera-lenses/sel35f14z,630
7,,"3-1/8 x 4-3/8"" (78 x 110 mm)",AF,72mm,,12/16,,$649.99,0.11x,105,4,18,4,E-mount,,E PZ 18–105 MM F4 G OSS,,SELP18105G,https://www.sony.com/electronics/camera-lenses/selp18105g,427
9,,"2 7/8 x 4"" (73 x 100 mm)",AF,67,,12-17,,"$1,399.99",0.2,55,2.8,16,2.8,E-mount,,E 16–55 mm F2.8 G,,SEL1655G,https://www.sony.com/electronics/camera-lenses/sel1655g,494
11,,"4 1/2"" x 12 5/8"" (111.5 x 318 mm)",AF,95,,17–24,,"$1,999.99",0.2,600,5.6,200,5.6,E-mount,,FE 200–600 MM F5.6–6.3 G OSS,,SEL200600G,https://www.sony.com/electronics/camera-lenses/sel200600g,115
7,,"3-1/4 x 4-3/4"" (80.5 x 118.5 mm)",AF,72mm,,12/17,,"$1,049.99",0.27x,240,3.5,24,3.5,E-mount,,FE 24-240mm F3.5-6.3 OSS,,SEL24240,https://www.sony.com/electronics/camera-lenses/sel24240,780
11,,"6-1/4 x 14-1/4"" (158.1 x 359 mm)",AF,40.5 (slot-in),,17-23 *Including one filter,,"$11,999.99",0.16,400,2.8,400,2.8,E-mount,,FE 400 MM F2.8 GM OSS,,SEL400F28GM,https://www.sony.com/electronics/camera-lenses/sel400f28gm,895
7,,"67.2 x 88 mm (2-3/4 x 3-1/2 "")",AF,55,,12–16,,$649.99,0 29,135,3.5,18,3.5,E-mount,,E 18-135mm F3.5-5.6 OSS,,SEL18135,https://www.sony.com/electronics/camera-lenses/sel18135,325
7,,"3-3/4 x 4"" (93.2 x 99 mm)",AF,67mm,,12/17,,"$1,199.99",0.35x,200,3.5,18,3.5,E-mount,,E PZ 18–200 MM F3.5–6.3 OSS,,SELP18200,https://www.sony.com/electronics/camera-lenses/selp18200,649
11,,89.5 x 107.5 mm,AF,77 mm,,8/11,,"$1,799.99",0.12 x,85,1.4,85,1.4,E-mount,,FE 85 mm F1.4 GM,,SEL85F14GM,https://www.sony.com/electronics/camera-lenses/sel85f14gm,28.92 oz
7,,"2-5/8 x 4-3/8"" (63.8 x 108 mm)",AF,49 mm,,9/13,,$349.99,0.225x,210,4.5,55,4.5,E-mount,,E 55–210MM F4.5–6.3 OSS,,SEL55210,https://www.sony.com/electronics/camera-lenses/sel55210,345
9,,"3-1/8 x 5-1/4"" (79 x 130.5 mm)",AF,62 mm,,11/15,,"$1,099.99",1.0x,90,2.8,90,2.8,E-mount,,FE 90 mm F2.8 MACRO G OSS,,SEL90M28G,https://www.sony.com/electronics/camera-lenses/sel90m28g,602
9,,"4 x 6-1/2"" (105 x 162.5 mm)",AF,95mm,,12/18,,"$2,499.99",0.15x,135,4,28,4,E-mount,,FE PZ 28-135mm F4 G OSS,,SELP28135G,https://www.sony.com/electronics/camera-lenses/selp28135g,215
11,,"3-5/8 x 5"" (89.5 x 127 mm)",AF,82,,10–13,,"$2,099.99",0.25,135,1.8,135,1.8,E-mount,,FE 135mm F1.8 GM,,SEL135F18GM,https://www.sony.com/electronics/camera-lenses/sel135f18gm,950
9,,3.875 x 5.5 in (97.6 x 137 mm),AF,-,,14-17,,"$2,999.99",0.14,24,2.8,12,2.8,E-mount,,FE 12–24 mm F2.8 GM,,SEL1224GM,https://www.sony.com/electronics/camera-lenses/sel1224gm,847
7,,"75.5 x 99 mm (3 x 4"")",AF,67mm,,12/17,,$899.99,0.35 x,200,3.5,18,3.5,E-mount,,E 18–200 mm F3.5-6.3 OSS,,SEL18200,https://www.sony.com/electronics/camera-lenses/sel18200,524
11,,88.0 x 200 mm,AF,77 mm,,18/23,,"$2,599.99",0.25x,200,2.8,70,2.8,E-mount,,FE 70-200 MM F2.8 GM OSS,,SEL70200GM,https://www.sony.com/electronics/camera-lenses/sel70200gm,52.21 oz (without tripod mount)
9,,"3 1/4"" x 7"" (80 x 175 mm)",AF,72mm,,15/21,,"$1,499.99",0.13x,200,4,70,4,E-mount,,FE 70-200 MM F4 G OSS,,SEL70200G,https://www.sony.com/electronics/camera-lenses/sel70200g,840
7,,"2 3/4 x 2 3/8"" (68.6 x 59.5 mm)",AF,49 mm,,5/6,,$249.99,0.14 x,50,1.8,50,1.8,E-mount,,FE 50MM F1.8,,SEL50F18F,https://www.sony.com/electronics/camera-lenses/sel50f18,186
9,,"3 3/8 x 5 3/4"" (84 x 143.5 mm)",AF,72 mm,,13/16,,"$1,274.99",0.31 x,300,4.5,70,4.5,E-mount,,FE 70-300MM F4.5-5.6 G OSS,,SEL70300G,https://www.sony.com/electronics/camera-lenses/sel70300g,854
9,,"3-3/4 x 8-1/8"" (93.9 x 205 mm)",AF,77,,16-22,,"$2,499.99",0.35,400,4.5,100,4.5,E-mount,,FE 100–400 MM G MASTER SUPER-TELEPHOTO ZOOM LENS,,SEL100400GM,https://www.sony.com/electronics/camera-lenses/sel100400gm,395
7,,"2-1/2 x 2-5/8"" (63 x 65.5 mm)",AF,49 mm,,7/8,,"$1,099.99",0.25x,24,1.8,24,1.8,E-mount,,SONNAR® T* E 24 MM F1.8 ZA,,SEL24F18Z,https://www.sony.com/electronics/camera-lenses/sel24f18z,225
7,,2 7/8 x 2 7/8 inches (70.8 x 71 mm),AF,55,,7-8,,$549.99,1,50,2.8,50,2.8,E-mount,,FE 50 MM F2.8 MACRO,,SEL50M28,https://www.sony.com/electronics/camera-lenses/sel50m28,236
7,,"2-1/2 x 29/32"" (62 x 22.5 mm)",AF,49 mm,,5/5,,$249.99,0.078x,16,2.8,16,2.8,E-mount,,E 16 MM F2.8,,SEL16F28,https://www.sony.com/electronics/camera-lenses/sel16f28,67
7,,4 3/8 x 6 5/8 in (110 x 167.5 mm),AF,95,,15–18,,"$3,649.99",0.122,110,4,18,4,E-mount,,E PZ 18–110 mm F4 G OSS,,SELP18110G,https://www.sony.com/electronics/camera-lenses/selp18110g,105
7,,"2-5/8 x 3"" (66.6 x 75 mm)",AF,55 mm,,12/16,,$999.99,0.23x,70,4,16,4,E-mount,,VARIO-TESSAR T* E 16–70 mm F4 ZA OSS,,SEL1670Z,https://www.sony.com/electronics/camera-lenses/sel1670z,308
9,,"2-5/8 x 2-7/8"" (64.4 x 70.5 mm)",AF,49 mm,,5/7,,$999.99,0.14x,55,1.8,55,1.8,E-mount,,SONNAR® T* FE 55 MM F1.8 ZA,,SEL55F18Z,https://www.sony.com/electronics/camera-lenses/sel55f18z,281
9,,3-3/8 x 4-1/2 in (83.4 x 113.3 mm),AF,77,,14-17,,"$1,399.99",0.31,105,4,24,4,E-mount,,FE 24–105 mm F4 G OSS Lens,,SEL24105G,https://www.sony.com/electronics/camera-lenses/sel24105g,663
11,,"3 3/8 x 4 3/8"" (83.5 x 108 mm)",AF,72 mm,,9/12,,"$1,499.99",0.15 x,50,1.4,50,1.4,E-mount,,PLANAR T* FE 50mm F1.4 ZA,,SEL50F14Z,https://www.sony.com/electronics/camera-lenses/sel50f14z,778
7,,"2-1/2 x 1-7/16"" (61.5 x 36.5 mm)",AF,49 mm,,5/7,,$799.99,0.12x,35,2.8,35,2.8,E-mount,,SONNAR® T* FE 35 MM F2.8 ZA,,SEL35F28Z,https://www.sony.com/electronics/camera-lenses/sel35f28z,120
11,,"3 3/8 x 4 3/4"" (85.2 x 118.1 mm)",AF,72,,10–13 *excluding APD element,,"$1,499.99","0.14 (at ""0.85 m–∞"" position); 0.25 (at ""0.57 m–1.0 m"" position)",100,F2,100,F2,E-mount,,FE 100mm F2.8 STF GM OSS,,SEL100F28GM,https://www.sony.com/electronics/camera-lenses/sel100f28gm,700
7,,"2-1/2 x 2-3/8"" (62 x 60 mm)",AF,49 mm,,9/11,,$299.99,0.3 x,55,3.5,18,3.5,E-mount,,E 18–55 MM F3.5–5.6 OSS,,SEL1855,https://www.sony.com/electronics/camera-lenses/sel1855,194
9,,3 x 3-3/8 in (73.5 x 84.7 mm),AF,67,,12-14,,$899.99,"0.20 (AF), 0.22 (MF)",20,1.8,20,1.8,E-mount,,FE 20 MM F1.8 G,,SEL20F18G,https://www.sony.com/electronics/camera-lenses/sel20f18g,373
11,,"3-1/2"" x 4-7/8"" (88.5 x 121.6 mm)",AF,82,,13–16,,"$2,199.99",0.19,35,2.8,16,2.8,E-mount,,FE 16-35mm F2.8 GM,,SEL1635GM,https://www.sony.com/electronics/camera-lenses/sel1635gm,680
11,,6 1/2 in x 17 3/4 in (163.6 mm x 449 mm),AF,40.5,,18–24 *Including one filter,,"$12,999.99",0.14,600,4,600,4,E-mount,,FE 600MM F4 GM OSS,,SEL600F40GM,https://www.sony.com/electronics/camera-lenses/sel600f40gm,040
